,location,total_sqft,bath,price,bhk,price_per_sqft
0,Electronic City Phase II,1056.0,2.0,39.07,2,3699.810606060606
1,Chikka Tirupathi,2600.0,5.0,120.0,4,4615.384615384615
2,Uttarahalli,1440.0,2.0,62.0,3,4305.555555555556
3,Lingadheeranahalli,1521.0,3.0,95.0,3,6245.890861275477
6,Old Airport Road,2732.0,4.0,204.0,4,7467.0571010248905
8,Marathahalli,1310.0,3.0,63.25,3,4828.244274809161
10,Whitefield,1800.0,2.0,70.0,3,3888.8888888888887
13,Gottigere,1100.0,2.0,40.0,2,3636.3636363636365
14,Sarjapur,2250.0,3.0,148.0,3,6577.777777777777
15,Mysore Road,1175.0,2.0,73.5,2,6255.31914893617
16,Bisuvanahalli,1180.0,3.0,48.0,3,4067.7966101694915
17,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,3896.103896103896
18,other,2770.0,4.0,290.0,3,10469.314079422382
19,other,1100.0,2.0,48.0,2,4363.636363636364
21,Binny Pete,1755.0,3.0,122.0,3,6951.5669515669515
23,Bellandur,1767.0,3.0,103.0,3,5829.088851160159
24,Thanisandra,510.0,1.0,25.25,1,4950.980392156863
27,Whitefield,1610.0,3.0,81.0,3,5031.055900621118
28,Ramagondanahalli,1151.0,2.0,48.77,2,4237.185056472633
29,Electronic City,1025.0,2.0,47.0,3,4585.365853658536
31,Bisuvanahalli,1075.0,2.0,35.0,3,3255.813953488372
32,Hebbal,1760.0,2.0,123.0,3,6988.636363636364
33,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3,3389.84051978736
34,Kasturi Nagar,1925.0,3.0,125.0,3,6493.506493506494
35,Kanakpura Road,700.0,2.0,36.0,2,5142.857142857143
36,Electronics City Phase 1,1070.0,2.0,45.5,2,4252.336448598131
37,Kundalahalli,1724.0,3.0,125.0,3,7250.580046403712
39,Uttarahalli,1143.0,2.0,45.0,2,3937.0078740157483
40,Murugeshpalya,1296.0,2.0,81.0,2,6250.0
42,other,600.0,1.0,38.0,1,6333.333333333333
46,Doddathoguru,970.0,2.0,33.0,2,3402.061855670103
47,Whitefield,1459.0,2.0,94.82,2,6498.971898560658
50,other,1270.0,2.0,50.0,2,3937.0078740157483
51,Bhoganhalli,1670.0,3.0,99.0,3,5928.143712574851
52,Whitefield,2010.0,3.0,91.0,3,4527.363184079602
54,Yelahanka,1600.0,2.0,75.0,3,4687.5
55,Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
57,other,1500.0,2.0,185.0,2,12333.333333333334
59,other,840.0,2.0,45.0,2,5357.142857142857
60,other,4395.0,3.0,240.0,3,5460.750853242321
61,other,845.0,2.0,55.0,2,6508.87573964497
63,Varthur,1160.0,2.0,44.0,2,3793.103448275862
64,Bommanahalli,3000.0,8.0,140.0,8,4666.666666666667
66,Gunjur,1140.0,2.0,43.0,2,3771.9298245614036
67,Marathahalli,1220.0,2.0,57.0,2,4672.131147540984
72,Hegde Nagar,1569.0,3.0,101.0,3,6437.221159974506
73,Haralur Road,1240.0,2.0,70.0,2,5645.1612903225805
74,Hennur Road,2089.0,3.0,140.0,3,6701.771182383915
75,Kothannur,1206.0,2.0,48.23,2,3999.1708126036483
77,other,2511.0,3.0,205.0,3,8164.078056551175
79,ISRO Layout,4400.0,6.0,250.0,6,5681.818181818182
80,other,1660.0,2.0,105.0,3,6325.301204819277
82,Yelahanka,1326.0,2.0,78.0,2,5882.35294117647
83,Garudachar Palya,1325.0,2.0,60.8,3,4588.679245283019
84,EPIP Zone,1499.0,5.0,102.0,3,6804.536357571715
85,Hegde Nagar,3000.0,7.0,210.0,6,7000.0
86,Kanakpura Road,1665.0,3.0,88.0,3,5285.285285285286
88,Kasavanhalli,1060.0,2.0,58.06,2,5477.358490566037
90,Sanjay nagar,1000.0,2.0,70.0,2,7000.0
91,Electronic City,1000.0,2.0,28.88,2,2888.0
92,other,1450.0,2.0,70.0,3,4827.586206896552
94,Thanisandra,1296.0,2.0,80.0,2,6172.83950617284
95,Domlur,1540.0,3.0,90.0,3,5844.1558441558445
97,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,3609.0225563909776
98,other,1200.0,2.0,65.0,2,5416.666666666667
99,other,1200.0,3.0,90.0,3,7500.0
100,Yeshwanthpur,2502.0,3.0,138.0,3,5515.587529976019
101,Chandapura,650.0,1.0,17.0,2,2615.3846153846152
102,Kothanur,2400.0,2.0,150.0,3,6250.0
103,other,1007.0,2.0,43.0,2,4270.109235352532
104,other,1200.0,2.0,50.0,2,4166.666666666667
105,other,966.0,2.0,49.9,2,5165.631469979296
106,Nagarbhavi,1630.0,2.0,98.0,3,6012.269938650306
107,Rajaji Nagar,1640.0,3.0,229.0,3,13963.414634146342
108,other,782.0,2.0,55.68,2,7120.204603580562
109,Devanahalli,1260.0,2.0,66.78,2,5300.0
110,other,1800.0,3.0,120.0,3,6666.666666666667
111,other,1413.0,2.0,75.0,3,5307.855626326964
112,Whitefield,1116.0,2.0,51.91,2,4651.433691756272
113,Electronic City,1530.0,2.0,45.9,3,3000.0
114,Ramamurthy Nagar,3700.0,4.0,225.0,4,6081.081081081081
115,Sarjapur  Road,2497.0,3.0,140.0,3,5606.728073688426
116,Kengeri,1540.0,2.0,64.0,3,4155.8441558441555
117,Thanisandra,1436.0,3.0,74.75,3,5205.431754874652
122,Hebbal,5611.5,4.0,477.0,4,8500.400962309543
123,Shampura,2650.0,4.0,150.0,4,5660.377358490566
124,Devanahalli,1282.0,2.0,68.52,3,5344.773790951638
126,LB Shastri Nagar,1600.0,3.0,65.0,3,4062.5
127,other,945.0,2.0,54.0,2,5714.285714285715
128,Hormavu,1500.0,2.0,78.0,2,5200.0
130,other,1870.0,3.0,110.0,3,5882.35294117647
131,Sarjapur,1600.0,3.0,75.0,3,4687.5
134,Kudlu Gate,1535.0,3.0,83.0,3,5407.166123778502
135,Kanakpura Road,950.0,2.0,57.0,2,6000.0
136,Devanahalli,1360.0,2.0,65.0,2,4779.411764705882
137,8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
139,other,1260.0,2.0,85.05,3,6750.0
140,Hennur Road,5000.0,8.0,250.0,8,5000.0
142,Kasavanhalli,1563.05,3.0,105.0,3,6717.635392341896
143,ISRO Layout,1000.0,2.0,60.0,2,6000.0
144,Anandapura,1167.0,2.0,43.76,2,3749.7857754927163
146,Kothanur,1828.0,3.0,110.0,3,6017.505470459519
147,Kengeri Satellite Town,890.0,2.0,35.0,2,3932.5842696629215
150,Mysore Road,1710.0,4.0,91.31,3,5339.766081871345
151,Kannamangala,957.0,2.0,58.0,2,6060.606060606061
153,other,2795.0,4.0,235.0,3,8407.871198568873
154,Hulimavu,1125.0,2.0,50.0,2,4444.444444444444
155,Electronic City Phase II,1020.0,2.0,30.6,2,3000.0
156,Kalena Agrahara,1200.0,2.0,50.0,2,4166.666666666667
162,other,1904.0,3.0,150.0,3,7878.151260504202
164,other,2000.0,3.0,175.0,3,8750.0
165,Sarjapur,1242.5,2.0,43.49,2,3500.201207243461
166,other,1425.0,2.0,75.0,3,5263.1578947368425
167,Electronic City,1500.0,2.0,64.5,3,4300.0
168,Electronic City,1060.0,2.0,60.0,2,5660.377358490566
169,other,1470.0,2.0,70.0,3,4761.9047619047615
171,Attibele,450.0,1.0,11.0,1,2444.4444444444443
172,Electronic City,1152.0,2.0,64.5,2,5598.958333333333
173,Electronic City,1350.0,2.0,56.0,3,4148.148148148148
174,CV Raman Nagar,1550.0,3.0,65.0,3,4193.548387096775
175,other,1500.0,3.0,100.0,3,6666.666666666667
177,Nagavara,400.0,1.0,14.0,1,3500.0
178,Malleshwaram,705.0,1.0,67.0,1,9503.54609929078
179,Electronic City,770.0,1.0,36.0,2,4675.324675324675
180,Hulimavu,1242.0,2.0,51.0,2,4106.280193236715
181,Hebbal Kempapura,1700.0,3.0,155.0,3,9117.64705882353
182,Thanisandra,2144.0,3.0,145.0,3,6763.059701492537
183,Vijayanagar,1704.0,3.0,110.0,3,6455.399061032864
184,Electronic City,1070.0,2.0,52.0,2,4859.813084112149
186,other,1340.0,2.0,55.7,2,4156.7164179104475
187,Electronic City,1025.0,2.0,46.0,2,4487.804878048781
188,KR Puram,1277.5,2.0,56.8,2,4446.183953033268
189,Marathahalli,1200.0,2.0,52.0,2,4333.333333333333
190,Kanakpura Road,2250.0,4.0,110.0,4,4888.888888888889
191,Pattandur Agrahara,1550.0,2.0,80.0,3,5161.290322580645
194,Marathahalli,1200.0,2.0,60.0,2,5000.0
196,Kothanur,1186.0,2.0,58.0,2,4890.387858347386
197,other,1783.0,3.0,115.0,3,6449.8037016264725
198,HSR Layout,1400.0,3.0,56.0,3,4000.0
199,Nagasandra,980.0,2.0,48.0,2,4897.959183673469
200,EPIP Zone,1285.0,2.0,82.0,2,6381.322957198444
201,other,912.0,2.0,70.0,3,7675.438596491228
202,Whitefield,1225.0,2.0,47.6,2,3885.714285714286
203,Whitefield,1075.0,2.0,53.0,2,4930.232558139535
206,Kogilu,1909.0,3.0,88.0,3,4609.743321110529
207,Panathur,1359.0,2.0,87.0,2,6401.766004415011
208,other,1207.0,2.0,43.5,2,3603.976801988401
210,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
211,Kammasandra,1595.0,3.0,65.0,3,4075.2351097178685
212,other,1798.0,3.0,89.0,3,4949.944382647386
213,Electronics City Phase 1,1475.0,3.0,78.29,3,5307.796610169492
214,other,1580.0,3.0,100.0,3,6329.113924050633
215,Dasarahalli,1295.0,2.0,65.0,2,5019.305019305019
216,Magadi Road,3600.0,6.0,141.0,6,3916.6666666666665
217,Electronic City,589.0,1.0,27.0,1,4584.040747028863
218,other,1415.0,3.0,78.0,3,5512.367491166077
219,Sarjapur  Road,1787.0,3.0,98.29,3,5500.279798545048
220,Sarjapur  Road,1787.0,3.0,125.0,3,6994.963626189144
222,other,2000.0,4.0,75.5,4,3775.0
223,Sarjapur  Road,984.0,2.0,44.28,2,4500.0
225,other,2405.0,4.0,260.0,3,10810.81081081081
226,7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
227,other,1500.0,2.0,115.0,2,7666.666666666667
228,Hebbal,1900.0,3.0,119.0,3,6263.1578947368425
230,Budigere,1153.0,2.0,56.4,2,4891.587163920208
231,other,1148.0,2.0,60.0,2,5226.480836236934
232,other,1110.0,2.0,55.0,2,4954.954954954955
233,Electronic City,1100.0,2.0,42.0,2,3818.181818181818
235,other,1500.0,2.0,65.0,3,4333.333333333333
237,Vijayanagar,1933.0,3.0,129.0,3,6673.564407656492
238,Ramamurthy Nagar,3500.0,5.0,150.0,5,4285.714285714285
239,other,1060.0,2.0,60.0,2,5660.377358490566
240,Chandapura,645.0,1.0,16.45,1,2550.3875968992247
241,other,2600.0,8.0,180.0,8,6923.076923076923
242,Chandapura,645.0,1.0,16.45,1,2550.3875968992247
243,other,1644.0,3.0,84.0,3,5109.489051094891
244,other,1285.0,2.0,72.5,2,5642.023346303502
246,Electronic City,910.0,2.0,40.0,2,4395.604395604396
247,Kothanur,1577.0,3.0,70.0,3,4438.807863031072
248,other,4050.0,3.0,280.0,3,6913.580246913581
249,OMBR Layout,2420.0,3.0,185.0,3,7644.628099173554
250,Chandapura,800.0,1.0,20.0,2,2500.0
251,other,1060.0,2.0,55.0,2,5188.679245283019
252,7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
254,other,1280.0,2.0,69.0,2,5390.625
257,Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
259,other,3045.0,3.0,170.0,3,5582.922824302134
261,Vijayanagar,1500.0,3.0,75.5,3,5033.333333333333
262,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,3389.96138996139
263,Budigere,1162.0,2.0,59.9,2,5154.9053356282275
264,Sarjapur  Road,1035.0,2.0,49.2,2,4753.623188405797
265,Attibele,1600.0,4.0,52.8,4,3300.0
269,Kalena Agrahara,1804.0,3.0,120.0,3,6651.884700665189
270,Sarjapur,913.0,2.0,32.0,2,3504.9288061336256
271,Talaghattapura,1868.0,3.0,131.0,3,7012.847965738758
272,Kengeri Satellite Town,883.0,2.0,45.0,2,5096.262740656852
273,other,900.0,2.0,110.0,2,12222.222222222223
274,Kogilu,1664.0,2.0,73.95,3,4444.110576923077
275,Hegde Nagar,2026.0,3.0,132.0,3,6515.301085883514
276,Balagere,1210.0,2.0,80.9,2,6685.950413223141
277,other,4111.0,4.0,250.0,4,6081.24543906592
278,Kadugodi,1762.0,3.0,91.45,3,5190.124858115778
