,location,count
0,1 Annasandrapalya,1
1,1 Giri Nagar,1
2,12th cross srinivas nagar banshankari 3rd stage,1
3,1A Block Koramangala,1
4,1st Stage Domlur,1
5,1st Stage Radha Krishna Layout,1
6,2nd Block Hbr Layout,1
7,"2nd phase jp nagar, jp nagar",1
8,3rd Block HBR Layout,1
9,3rd Phase Iti Layout,1
10,3rd Stage Raja Rajeshwari Nagar,1
11,4 Bedroom Farm House in Bagalur,1
12,4th Block HBR Layout,1
13,5th block Koramangala,1
14,6th Block Jayanagar,1
15,6th Block Rajaji Nagar,1
16,"6th block banashankari 3rd stage, 100 feet ORR",1
17,7th Block Koramangala,1
18,AECS LAYOUT A-BLOCK Singasandra,1
19,AGB Layout,1
20,Aavalahalli,1
21,Abshot Layout,1
22,Achins Road,1
23,Adarsh Nagar,1
24,Addischetan Layout,1
25,Adugodi,1
26,Agara Village,1
27,Air View Colony,1
28,Akash Nagar,1
29,Allalasandra,1
30,Amco Colony,1
31,Amrita Nagar,1
32,Anantapuram,1
33,"Ananthanagar Phase 1,Electronic City , phase 2",1
34,"Ananthapura, T C palaya Main Road",1
35,Anathanagar,1
36,Anekal - Hosur Road,1
37,"Annapoorneshwari Layout, JP nagar 7th phase",1
38,Annasandrapalya,1
39,Arasanakunte,1
40,Arekempanahalli,1
41,Ashraya Layout,1
42,Asthagrama Layout,1
43,Attiguppe,1
44,B K Nagar,1
45,B Y Raveshwara Nagar,1
46,BAGUR,1
47,BAGUR ROAD,1
48,BDS Layout,1
49,BEL Layout,1
50,BEML Layout 5th Stage,1
51,BEML Layout 5th stage,1
52,BTM Layout 1stage 9th Main,1
53,BTM Layout 2nd Stage 1st Phase,1
54,Badrappa Layout,1
55,Bahubali Nagar,1
56,Balepet,1
57,Banagirinagar,1
58,"Banasawadi,",1
59,Banashankari 2 nd Stage,1
60,Banashankari 2nd Stage,1
61,"Banashankari 3rd stage, Vivekanandanagar",1
62,Banashankari 6th Stage,1
63,"Banashankari 6th Stage ,Subramanyapura",1
